Student_Name,Semester,Attendance,Assignment,Tutorial,Incourse,Final,GPA,Total_Marks,Risk_Status
Nadia Islam,3rd Year - Sem 1,18,5,12,20,30,2.5,67,Medium Risk
Karim Uddin,2nd Year - Sem 2,12,6,10,29,30,2.75,75,Medium Risk
Nadia Islam,3rd Year - Sem 2,12,6,10,29,42,3.25,87,Safe
Tashin Tuhin,3rd Year - Sem 1,15,5,11,26,40,3.0,82,Safe
Karim Uddin,4th Year - Sem 2,13,7,14,26,39,3.25,86,Safe
Nadia Islam,1st Year - Sem 2,3,1,2,7,26,0.0,36,High Risk
Tashin Tuhin,3rd Year - Sem 1,7,0,0,7,26,0.0,33,High Risk
Nadia Islam,3rd Year - Sem 2,4,3,5,16,3,0.0,27,High Risk
Ahad Ali,2nd Year - Sem 1,23,9,20,39,57,4.0,125,Safe
Ahad Ali,4th Year - Sem 2,12,8,12,20,35,2.75,75,Medium Risk
Ahad Ali,4th Year - Sem 1,12,8,13,23,33,2.75,77,Medium Risk
Tashin Tuhin,2nd Year - Sem 2,5,0,5,12,21,0.0,38,High Risk
Rakib Hasan,4th Year - Sem 2,5,2,5,9,30,0.0,46,High Risk
Rakib Hasan,3rd Year - Sem 2,20,10,18,30,55,4.0,113,Safe
Ahad Ali,1st Year - Sem 2,15,5,15,27,43,3.25,90,Safe
Karim Uddin,1st Year - Sem 1,15,8,11,26,41,3.25,86,Safe
Ahad Ali,1st Year - Sem 2,22,8,19,33,54,4.0,114,Safe
Tashin Tuhin,3rd Year - Sem 2,19,6,12,22,36,2.75,76,Medium Risk
Nadia Islam,2nd Year - Sem 1,18,6,15,21,41,3.0,83,Safe
Nadia Islam,4th Year - Sem 2,0,1,0,1,17,0.0,19,High Risk
Nadia Islam,2nd Year - Sem 1,17,5,14,28,31,3.0,78,Safe
Tashin Tuhin,1st Year - Sem 1,11,4,6,1,23,0.0,34,High Risk
Rakib Hasan,4th Year - Sem 1,12,7,10,30,38,3.25,85,Safe
Shibay Yadav,1st Year - Sem 1,16,6,10,21,45,3.0,82,Safe
Karim Uddin,3rd Year - Sem 2,0,0,6,8,15,0.0,29,High Risk
Nadia Islam,1st Year - Sem 1,2,2,1,16,26,0.0,45,High Risk
Rakib Hasan,3rd Year - Sem 2,20,7,11,22,36,2.75,76,Medium Risk
Tashin Tuhin,4th Year - Sem 1,24,8,19,38,54,4.0,119,Safe
Karim Uddin,2nd Year - Sem 1,20,10,15,36,59,4.0,120,Safe
Rakib Hasan,2nd Year - Sem 2,15,5,12,27,37,3.0,81,Safe
Rakib Hasan,1st Year - Sem 2,21,8,15,40,51,4.0,114,Safe
Ahad Ali,3rd Year - Sem 2,12,6,12,28,34,3.0,80,Safe
Tashin Tuhin,3rd Year - Sem 2,15,6,10,22,35,2.75,73,Medium Risk
Tashin Tuhin,3rd Year - Sem 2,19,5,11,30,37,3.0,83,Safe
Ahad Ali,2nd Year - Sem 1,18,8,12,25,30,2.75,75,Medium Risk
Tashin Tuhin,4th Year - Sem 2,22,10,16,34,55,4.0,115,Safe
Tashin Tuhin,3rd Year - Sem 1,12,6,10,26,40,3.0,82,Safe
Karim Uddin,2nd Year - Sem 1,20,8,13,21,31,2.75,73,Medium Risk
Rakib Hasan,1st Year - Sem 2,20,10,19,30,59,4.0,118,Safe
Karim Uddin,3rd Year - Sem 2,16,7,13,30,36,3.25,86,Safe
Ahad Ali,1st Year - Sem 1,14,5,15,21,41,3.0,82,Safe
Karim Uddin,4th Year - Sem 1,12,3,1,13,17,0.0,34,High Risk
Nadia Islam,1st Year - Sem 1,20,10,18,32,56,4.0,116,Safe
Nadia Islam,4th Year - Sem 1,16,7,15,27,42,3.5,91,Safe
Ahad Ali,3rd Year - Sem 2,19,5,15,23,35,3.0,78,Safe
Nadia Islam,2nd Year - Sem 1,20,10,19,37,57,4.0,123,Safe
Nadia Islam,2nd Year - Sem 2,17,5,12,23,42,3.0,82,Safe
Tashin Tuhin,4th Year - Sem 1,15,7,15,20,38,3.0,80,Safe
Shibay Yadav,4th Year - Sem 1,15,6,11,20,32,2.5,69,Medium Risk
Ahad Ali,1st Year - Sem 1,12,5,2,0,4,0.0,11,High Risk
Shibay Yadav,4th Year - Sem 1,23,8,20,33,53,4.0,114,Safe
Karim Uddin,1st Year - Sem 1,19,8,12,28,31,3.0,79,Safe
Karim Uddin,2nd Year - Sem 1,22,9,15,34,47,4.0,105,Safe
Ahad Ali,3rd Year - Sem 1,20,8,16,32,59,4.0,115,Safe
Tashin Tuhin,1st Year - Sem 2,23,10,20,33,48,4.0,111,Safe
Nadia Islam,1st Year - Sem 1,13,6,11,28,36,3.0,81,Safe
Ahad Ali,2nd Year - Sem 2,24,10,18,39,56,4.0,123,Safe
Rakib Hasan,1st Year - Sem 1,22,8,16,31,52,4.0,107,Safe
Karim Uddin,4th Year - Sem 1,24,8,18,38,55,4.0,119,Safe
Ahad Ali,1st Year - Sem 2,13,6,15,20,43,3.0,84,Safe
Ahad Ali,4th Year - Sem 2,5,4,7,17,28,2.0,56,High Risk
Rakib Hasan,2nd Year - Sem 1,5,1,7,12,23,0.0,43,High Risk
Nadia Islam,2nd Year - Sem 2,22,10,16,37,54,4.0,117,Safe
Shibay Yadav,4th Year - Sem 2,12,6,12,23,33,2.75,74,Medium Risk
Tashin Tuhin,4th Year - Sem 1,12,8,12,21,42,3.0,83,Safe
Karim Uddin,2nd Year - Sem 1,24,8,15,31,58,4.0,112,Safe
Rakib Hasan,3rd Year - Sem 2,13,6,15,24,42,3.25,87,Safe
Ahad Ali,3rd Year - Sem 1,18,6,13,22,35,2.75,76,Medium Risk
Ahad Ali,1st Year - Sem 1,7,5,4,20,8,0.0,37,High Risk
Tashin Tuhin,1st Year - Sem 2,20,10,18,31,58,4.0,117,Safe
Karim Uddin,3rd Year - Sem 1,18,7,13,24,39,3.0,83,Safe
Karim Uddin,2nd Year - Sem 2,20,10,18,30,58,4.0,116,Safe
Tashin Tuhin,4th Year - Sem 1,12,5,11,29,35,3.0,80,Safe
Ahad Ali,2nd Year - Sem 1,15,8,12,20,35,2.75,75,Medium Risk
Rakib Hasan,2nd Year - Sem 2,12,0,4,9,15,0.0,28,High Risk
Tashin Tuhin,2nd Year - Sem 1,5,1,9,12,27,0.0,49,High Risk
Shibay Yadav,3rd Year - Sem 1,19,7,15,28,36,3.25,86,Safe
Tashin Tuhin,4th Year - Sem 2,13,8,15,27,41,3.5,91,Safe
Karim Uddin,2nd Year - Sem 1,21,9,17,35,48,4.0,109,Safe
Rakib Hasan,2nd Year - Sem 1,13,5,15,29,45,3.5,94,Safe
Shibay Yadav,3rd Year - Sem 1,21,8,15,38,49,4.0,110,Safe
Nadia Islam,4th Year - Sem 1,11,0,10,5,11,0.0,26,High Risk
Nadia Islam,3rd Year - Sem 1,24,9,16,35,49,4.0,109,Safe
Tashin Tuhin,4th Year - Sem 2,11,3,0,7,17,0.0,27,High Risk
Karim Uddin,4th Year - Sem 1,17,5,15,20,42,3.0,82,Safe
Rakib Hasan,4th Year - Sem 1,15,5,10,26,38,3.0,79,Safe
Karim Uddin,2nd Year - Sem 2,21,10,16,30,54,4.0,110,Safe
Rakib Hasan,3rd Year - Sem 1,14,8,11,21,31,2.5,71,Medium Risk
Tashin Tuhin,4th Year - Sem 1,13,5,15,20,41,3.0,81,Safe
Rakib Hasan,3rd Year - Sem 1,19,6,13,25,31,2.75,75,Medium Risk
Karim Uddin,1st Year - Sem 2,7,4,8,18,15,0.0,45,High Risk
Tashin Tuhin,4th Year - Sem 2,22,10,16,36,45,4.0,107,Safe
Rakib Hasan,3rd Year - Sem 2,22,8,18,35,48,4.0,109,Safe
Nadia Islam,2nd Year - Sem 1,21,8,16,38,51,4.0,113,Safe
Shibay Yadav,2nd Year - Sem 1,1,0,1,20,25,0.0,46,High Risk
Nadia Islam,4th Year - Sem 1,15,6,11,27,36,3.0,80,Safe
Rakib Hasan,3rd Year - Sem 1,11,5,7,3,12,0.0,27,High Risk
Shibay Yadav,1st Year - Sem 1,20,9,19,38,49,4.0,115,Safe
Rakib Hasan,4th Year - Sem 2,16,7,12,24,37,3.0,80,Safe
Tashin Tuhin,4th Year - Sem 1,20,9,19,35,45,4.0,108,Safe
Rakib Hasan,4th Year - Sem 1,5,5,8,18,20,0.0,51,High Risk
Karim Uddin,4th Year - Sem 1,20,7,12,30,40,3.25,89,Safe
Ahad Ali,2nd Year - Sem 1,7,4,6,18,1,0.0,29,High Risk
Shibay Yadav,4th Year - Sem 2,22,9,19,30,54,4.0,112,Safe
Rakib Hasan,3rd Year - Sem 2,14,7,15,20,37,3.0,79,Safe
Tashin Tuhin,2nd Year - Sem 1,22,9,16,35,50,4.0,110,Safe
Tashin Tuhin,3rd Year - Sem 1,12,0,1,5,6,0.0,12,High Risk
Shibay Yadav,2nd Year - Sem 1,16,5,10,26,40,3.0,81,Safe
Nadia Islam,4th Year - Sem 1,13,8,12,26,30,2.75,76,Medium Risk
Tashin Tuhin,3rd Year - Sem 1,22,10,19,40,59,4.0,128,Safe
Nadia Islam,4th Year - Sem 2,22,9,16,37,53,4.0,115,Safe
Shibay Yadav,1st Year - Sem 2,19,8,15,27,38,3.25,88,Safe
Rakib Hasan,3rd Year - Sem 1,20,5,11,26,35,2.75,77,Medium Risk
Karim Uddin,2nd Year - Sem 1,13,6,11,22,36,2.75,75,Medium Risk
Tashin Tuhin,2nd Year - Sem 2,24,9,17,31,45,3.75,102,Safe
Tashin Tuhin,3rd Year - Sem 2,4,2,0,2,10,0.0,14,High Risk
Karim Uddin,4th Year - Sem 2,18,6,15,21,43,3.25,85,Safe
Karim Uddin,3rd Year - Sem 2,12,0,5,2,19,0.0,26,High Risk
Tashin Tuhin,4th Year - Sem 2,10,0,0,8,2,0.0,10,High Risk
Shibay Yadav,3rd Year - Sem 2,24,10,18,32,48,4.0,108,Safe
Ahad Ali,3rd Year - Sem 1,12,7,10,30,39,3.25,86,Safe
Karim Uddin,4th Year - Sem 1,14,6,11,27,45,3.25,89,Safe
Shibay Yadav,2nd Year - Sem 1,23,10,15,32,54,4.0,111,Safe
Tashin Tuhin,4th Year - Sem 1,22,10,15,32,47,4.0,104,Safe
Tashin Tuhin,2nd Year - Sem 1,24,8,18,34,45,4.0,105,Safe
Ahad Ali,2nd Year - Sem 1,12,7,13,23,36,3.0,79,Safe
Rakib Hasan,3rd Year - Sem 1,17,6,14,27,37,3.0,84,Safe
Tashin Tuhin,2nd Year - Sem 2,7,1,1,18,3,0.0,23,High Risk
Ahad Ali,3rd Year - Sem 1,18,5,11,25,34,2.75,75,Medium Risk
Ahad Ali,1st Year - Sem 2,17,8,14,29,36,3.25,87,Safe
Karim Uddin,4th Year - Sem 1,20,8,19,37,60,4.0,124,Safe
Nadia Islam,2nd Year - Sem 2,20,8,12,21,40,3.0,81,Safe
Ahad Ali,2nd Year - Sem 2,24,9,15,37,45,4.0,106,Safe
Ahad Ali,4th Year - Sem 1,19,7,11,28,37,3.0,83,Safe
Ahad Ali,1st Year - Sem 2,18,5,10,22,34,2.5,71,Medium Risk
Rakib Hasan,2nd Year - Sem 2,20,9,20,38,47,4.0,114,Safe
Nadia Islam,1st Year - Sem 1,20,7,14,21,45,3.25,87,Safe
Shibay Yadav,3rd Year - Sem 1,21,9,16,37,51,4.0,113,Safe
Tashin Tuhin,2nd Year - Sem 2,22,9,19,31,54,4.0,113,Safe
Shibay Yadav,3rd Year - Sem 1,20,7,15,21,32,2.75,75,Medium Risk
Ahad Ali,2nd Year - Sem 1,3,5,2,13,17,0.0,37,High Risk
Ahad Ali,1st Year - Sem 1,23,9,15,36,59,4.0,119,Safe
Rakib Hasan,4th Year - Sem 1,19,5,14,25,44,3.25,88,Safe
Karim Uddin,2nd Year - Sem 2,0,2,1,4,7,0.0,14,High Risk
Shibay Yadav,2nd Year - Sem 1,12,8,15,29,36,3.25,88,Safe
Tashin Tuhin,3rd Year - Sem 2,20,10,19,35,58,4.0,122,Safe
Nadia Islam,4th Year - Sem 1,21,10,18,40,59,4.0,127,Safe
Shibay Yadav,4th Year - Sem 2,20,6,14,30,39,3.25,89,Safe
Tashin Tuhin,1st Year - Sem 2,18,8,13,23,40,3.0,84,Safe
Nadia Islam,1st Year - Sem 1,21,10,20,31,58,4.0,119,Safe
Karim Uddin,4th Year - Sem 2,23,9,20,40,51,4.0,120,Safe
Ahad Ali,3rd Year - Sem 1,12,5,15,30,42,3.5,92,Safe
Ahad Ali,4th Year - Sem 1,17,5,10,28,40,3.0,83,Safe
Ahad Ali,3rd Year - Sem 2,20,10,20,37,45,4.0,112,Safe
Karim Uddin,1st Year - Sem 1,12,8,15,26,31,3.0,80,Safe
Rakib Hasan,1st Year - Sem 1,24,10,18,34,54,4.0,116,Safe
Karim Uddin,2nd Year - Sem 1,17,7,11,21,38,2.75,77,Medium Risk
Karim Uddin,3rd Year - Sem 2,19,8,11,21,45,3.25,85,Safe
Ahad Ali,4th Year - Sem 1,21,9,15,39,45,4.0,108,Safe
Shibay Yadav,4th Year - Sem 1,22,9,18,33,48,4.0,108,Safe
Rakib Hasan,1st Year - Sem 1,20,9,16,30,50,4.0,105,Safe
Ahad Ali,3rd Year - Sem 1,11,4,8,7,25,0.0,44,High Risk
Ahad Ali,1st Year - Sem 1,17,8,10,30,34,3.0,82,Safe
Ahad Ali,4th Year - Sem 1,23,8,18,38,51,4.0,115,Safe
Shibay Yadav,2nd Year - Sem 1,16,5,11,27,33,2.75,76,Medium Risk
Nadia Islam,2nd Year - Sem 1,3,5,6,20,18,0.0,49,High Risk
Nadia Islam,4th Year - Sem 2,8,1,8,1,8,0.0,18,High Risk
Nadia Islam,3rd Year - Sem 2,21,10,17,37,59,4.0,123,Safe
Ahad Ali,2nd Year - Sem 1,22,8,20,31,52,4.0,111,Safe
Ahad Ali,1st Year - Sem 2,0,5,0,5,30,0.0,40,High Risk
Karim Uddin,1st Year - Sem 2,18,7,15,26,36,3.0,84,Safe
Rakib Hasan,4th Year - Sem 2,21,9,16,37,48,4.0,110,Safe
Nadia Islam,2nd Year - Sem 1,22,8,20,40,53,4.0,121,Safe
Ahad Ali,3rd Year - Sem 2,5,5,7,0,15,0.0,27,High Risk
Nadia Islam,3rd Year - Sem 1,22,9,17,40,55,4.0,121,Safe
Tashin Tuhin,2nd Year - Sem 1,20,8,15,35,45,3.75,103,Safe
Rakib Hasan,2nd Year - Sem 1,17,7,13,21,42,3.0,83,Safe
Nadia Islam,1st Year - Sem 2,20,8,20,34,51,4.0,113,Safe
Tashin Tuhin,3rd Year - Sem 1,21,9,15,39,45,4.0,108,Safe
Tashin Tuhin,2nd Year - Sem 1,19,5,11,27,31,2.75,74,Medium Risk
Nadia Islam,1st Year - Sem 2,12,8,11,25,44,3.25,88,Safe
Karim Uddin,4th Year - Sem 2,8,2,0,2,3,0.0,7,High Risk
Ahad Ali,3rd Year - Sem 2,12,3,0,3,1,0.0,7,High Risk
Karim Uddin,3rd Year - Sem 1,21,10,18,34,58,4.0,120,Safe
Tashin Tuhin,3rd Year - Sem 1,20,10,20,36,53,4.0,119,Safe
Ahad Ali,3rd Year - Sem 2,13,7,11,24,45,3.25,87,Safe
Nadia Islam,2nd Year - Sem 2,21,10,20,30,60,4.0,120,Safe
Rakib Hasan,4th Year - Sem 1,15,7,14,27,42,3.25,90,Safe
Rakib Hasan,2nd Year - Sem 2,19,8,13,25,33,3.0,79,Safe
Ahad Ali,1st Year - Sem 2,20,5,15,27,44,3.5,91,Safe
Shibay Yadav,2nd Year - Sem 1,18,7,13,22,35,2.75,77,Medium Risk
Nadia Islam,1st Year - Sem 1,23,9,17,37,58,4.0,121,Safe
Nadia Islam,2nd Year - Sem 1,24,9,15,35,48,4.0,107,Safe
Tashin Tuhin,2nd Year - Sem 1,22,9,18,34,56,4.0,117,Safe
Shibay Yadav,1st Year - Sem 2,20,8,15,31,58,4.0,112,Safe
Nadia Islam,2nd Year - Sem 2,16,5,13,23,36,2.75,77,Medium Risk
Rakib Hasan,2nd Year - Sem 1,16,7,11,24,38,3.0,80,Safe
Shibay Yadav,3rd Year - Sem 2,21,9,15,35,59,4.0,118,Safe
Ahad Ali,1st Year - Sem 1,21,8,20,38,45,4.0,111,Safe
Tashin Tuhin,1st Year - Sem 2,24,10,16,40,46,4.0,112,Safe
Tashin Tuhin,4th Year - Sem 2,20,10,19,31,57,4.0,117,Safe
Nadia Islam,3rd Year - Sem 2,4,4,9,6,26,0.0,45,High Risk
Shibay Yadav,1st Year - Sem 2,21,8,20,39,51,4.0,118,Safe
Karim Uddin,4th Year - Sem 2,3,1,0,2,19,0.0,22,High Risk
Ahad Ali,1st Year - Sem 1,8,4,8,8,27,0.0,47,High Risk
Nadia Islam,2nd Year - Sem 1,20,8,19,38,56,4.0,121,Safe
Shibay Yadav,2nd Year - Sem 1,8,2,9,12,16,0.0,39,High Risk
Rakib Hasan,2nd Year - Sem 1,23,9,17,31,52,4.0,109,Safe
Rakib Hasan,2nd Year - Sem 1,8,0,6,3,20,0.0,29,High Risk
Ahad Ali,2nd Year - Sem 2,9,1,2,13,26,0.0,42,High Risk
Shibay Yadav,3rd Year - Sem 2,23,8,20,30,52,4.0,110,Safe
Ahad Ali,1st Year - Sem 1,20,8,17,31,48,4.0,104,Safe
Tashin Tuhin,2nd Year - Sem 2,13,7,11,22,33,2.75,73,Medium Risk
Rakib Hasan,3rd Year - Sem 2,12,0,3,14,4,0.0,21,High Risk
Karim Uddin,1st Year - Sem 2,22,10,19,38,48,4.0,115,Safe
Nadia Islam,2nd Year - Sem 1,18,5,11,25,45,3.25,86,Safe
Tashin Tuhin,1st Year - Sem 2,13,5,11,28,43,3.25,87,Safe
Shibay Yadav,4th Year - Sem 1,3,5,7,1,5,0.0,18,High Risk
Karim Uddin,3rd Year - Sem 1,22,10,19,32,52,4.0,113,Safe
Tashin Tuhin,1st Year - Sem 1,5,5,9,9,30,2.0,53,High Risk
Tashin Tuhin,2nd Year - Sem 1,2,3,0,1,19,0.0,23,High Risk
Ahad Ali,1st Year - Sem 1,21,8,20,40,52,4.0,120,Safe
Ahad Ali,4th Year - Sem 1,23,9,18,32,59,4.0,118,Safe
Tashin Tuhin,4th Year - Sem 1,1,0,0,14,25,0.0,39,High Risk
Ahad Ali,3rd Year - Sem 2,23,9,18,30,54,4.0,111,Safe
Ahad Ali,1st Year - Sem 2,21,9,15,34,55,4.0,113,Safe
Karim Uddin,4th Year - Sem 1,20,5,12,25,34,2.75,76,Medium Risk
Rakib Hasan,3rd Year - Sem 1,13,7,11,25,32,2.75,75,Medium Risk
Ahad Ali,3rd Year - Sem 1,18,5,10,21,43,3.0,79,Safe
Shibay Yadav,1st Year - Sem 1,12,6,14,29,35,3.0,84,Safe
Nadia Islam,4th Year - Sem 2,19,7,10,20,42,3.0,79,Safe
Karim Uddin,1st Year - Sem 1,12,0,10,6,20,0.0,36,High Risk
Shibay Yadav,3rd Year - Sem 2,20,10,20,32,56,4.0,118,Safe
Shibay Yadav,2nd Year - Sem 1,15,6,13,28,34,3.0,81,Safe
Tashin Tuhin,1st Year - Sem 2,14,5,12,29,43,3.25,89,Safe
Nadia Islam,4th Year - Sem 1,3,0,9,3,5,0.0,17,High Risk
Ahad Ali,3rd Year - Sem 1,16,8,10,22,33,2.75,73,Medium Risk
Karim Uddin,2nd Year - Sem 2,21,9,16,30,47,3.75,102,Safe
Tashin Tuhin,1st Year - Sem 2,0,3,10,20,12,0.0,45,High Risk
Ahad Ali,3rd Year - Sem 2,23,10,16,32,57,4.0,115,Safe
Rakib Hasan,3rd Year - Sem 1,15,6,14,22,39,3.0,81,Safe
Karim Uddin,3rd Year - Sem 2,18,7,11,22,31,2.5,71,Medium Risk
Karim Uddin,4th Year - Sem 1,16,7,13,21,34,2.75,75,Medium Risk
Rakib Hasan,4th Year - Sem 2,19,7,13,28,43,3.5,91,Safe
Ahad Ali,4th Year - Sem 1,19,6,13,20,40,3.0,79,Safe
Ahad Ali,3rd Year - Sem 1,16,7,10,20,37,2.75,74,Medium Risk
Karim Uddin,1st Year - Sem 1,12,5,15,28,30,3.0,78,Safe
Karim Uddin,2nd Year - Sem 1,22,9,18,32,46,4.0,105,Safe
Rakib Hasan,2nd Year - Sem 2,16,6,11,25,32,2.75,74,Medium Risk
Tashin Tuhin,1st Year - Sem 2,2,3,6,6,8,0.0,23,High Risk
Karim Uddin,4th Year - Sem 1,12,6,14,28,31,3.0,79,Safe
Karim Uddin,4th Year - Sem 1,19,8,10,25,44,3.25,87,Safe
Rakib Hasan,2nd Year - Sem 2,2,5,2,17,17,0.0,41,High Risk
Shibay Yadav,3rd Year - Sem 2,24,10,15,35,45,4.0,105,Safe
Karim Uddin,2nd Year - Sem 2,14,7,15,22,41,3.25,85,Safe
Rakib Hasan,4th Year - Sem 1,2,4,1,15,10,0.0,30,High Risk
Tashin Tuhin,3rd Year - Sem 2,18,6,11,22,42,3.0,81,Safe
Rakib Hasan,1st Year - Sem 1,8,2,2,10,30,0.0,44,High Risk
